"Published Chart",,,,,,,,,,,,,,,,,,,,,,,,
"Week Ending: 11/22/2025        Panel: Mediabase - Published Canada Panel        Format: Hot AC        GRC: Currents and Recurrents        Min Spins Cut off: 5        Show Top: 150",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PK,Rank,,,Artist,Title,Label,Cancon,"Wks On",Spins,,,Dayparts,,,,,Impressions,,,,,Stations,,"Avg. Station Rotations",,,,"w/o OVN",,"6am to 7pm",,"Format By Format Rank",,,,,,
,LW,TW,,,,,,,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,TW,LW,+/-,rTW,rLW,On,New,On,TW,LW,+/-,Rank,TW,Rank,TW,"Canada-Top 40","Canada-Hot AC","Canada-Main AC",Canada-Country,"Canada-Active Rock","Canada-Alternative Rock","Big Picture"
4,-Rec-,-Rec-,,"GRACIE ABRAMS","That's So True",Interscope/ICLG,,-,329,371,-42,93,40,76,59,61,1.003,1.023,-0.020,R,R,23,0,23,13.7,15.5,-1.8,-Rec-,236,30,175,-,-,-,-,-,-,65
6,-Rec-,-Rec-,,"PRESTON PABLO","Dance Alone","Universal Music Canada",Yes,-,308,341,-33,68,50,64,44,82,0.902,0.877,0.025,R,R,27,0,27,11.0,12.2,-1.2,-Rec-,240,33,158,-,-,-,-,-,-,92
1,-Rec-,-Rec-,,"TEDDY SWIMS","Lose Control",Warner,,-,301,316,-15,92,37,61,60,51,1.046,0.987,0.059,R,R,30,1,30,9.7,10.2,-0.5,-Rec-,209,34,158,-,-,-,-,-,-,89
1,-Rec-,-Rec-,,SHABOOZEY,"A Bar Song (Tipsy)","American Dogwood/EMPIRE",,-,288,384,-96,86,28,62,50,62,0.805,0.890,-0.085,R,R,29,0,29,9.6,12.8,-3.2,-Rec-,202,37,140,-,-,-,-,-,-,29
8,-Rec-,-Rec-,,"JAMIE FINE","you're like","Universal Music Canada",Yes,-,277,248,29,62,40,72,28,75,0.839,0.605,0.234,R,R,25,1,25,10.7,9.5,1.1,-Rec-,215,38,140,-,-,-,-,-,-,99
1,-Rec-,-Rec-,,"ROSE & BRUNO MARS",APT,Atlantic,,-,276,300,-24,92,31,64,37,52,0.900,0.982,-0.082,R,R,23,0,23,11.0,12.0,-1.0,-Rec-,184,39,132,-,-,-,-,-,-,70
4,-Rec-,-Rec-,,"CHARLOTTE CARDIN",Confetti,"Cult Nation",Yes,-,270,300,-30,58,41,52,51,68,0.799,0.791,0.008,R,R,29,0,29,9.0,10.0,-1.0,-Rec-,212,35,144,9,-,11,-,-,368,86
11,-Rec-,-Rec-,,"CAMERON WHITCOMB",Quitter,Atlantic,Yes,-,257,265,-8,65,31,49,49,63,0.708,0.794,-0.086,R,R,20,1,20,12.2,12.6,-0.4,-Rec-,192,41,129,-,-,-,-,-,-,33
4,-Rec-,-Rec-,,"POST MALONE","I Had Some Help f/M. Wallen","Big Loud/Mercury/Republic",,-,253,264,-11,85,24,50,38,56,0.695,0.685,0.010,R,R,28,1,28,8.7,9.1,-0.4,-Rec-,168,43,112,-,-,-,-,-,-,26
5,-Rec-,-Rec-,,"MYLES SMITH","Nice To Meet You",RCA,,-,250,286,-36,79,32,50,48,41,1.355,1.441,-0.086,R,R,20,0,20,11.4,13.0,-1.6,-Rec-,171,40,130,-,-,11,-,-,-,83
14,-Rec-,-Rec-,,"ARIANA GRANDE","twilight zone",Republic,,-,228,258,-30,79,21,40,36,52,1.351,1.602,-0.251,R,R,15,0,15,13.4,15.2,-1.8,-Rec-,149,47,97,8,-,-,-,-,-,36
4,-Rec-,-Rec-,,"SABRINA CARPENTER",Taste,Island/Republic,,-,225,239,-14,77,33,43,29,43,0.709,0.712,-0.003,R,R,24,0,24,9.0,9.6,-0.6,-Rec-,148,45,105,-,-,-,-,-,-,106
6,-Rec-,-Rec-,,SOMBR,undressed,Warner,,-,204,218,-14,65,22,38,34,45,0.592,0.721,-0.129,R,R,17,1,17,7.8,8.4,-0.5,-Rec-,139,49,94,-,-,46,-,-,96,151
6,-Rec-,-Rec-,,"CHAPPELL ROAN","Good Luck, Babe!",Island/Republic,,-,199,197,2,78,19,50,19,33,0.321,0.300,0.021,R,R,22,1,22,8.7,8.6,0.1,-Rec-,121,50,88,-,-,-,-,-,-,84
12,-Rec-,-Rec-,,"MORGAN WALLEN","What I Want f/Tate McRae",BigLoud/Merc/RCA-Republic,,-,198,241,-43,52,23,41,33,49,0.695,0.790,-0.095,R,R,19,0,19,8.6,10.5,-1.9,-Rec-,146,48,97,-,-,40,-,-,-,169
10,-Rec-,-Rec-,,"LU KALA","Hotter Now",LVK/Amigo,Yes,-,195,213,-18,43,30,37,39,46,0.599,0.665,-0.066,R,R,20,0,20,9.3,10.1,-0.9,-Rec-,152,44,106,1,-,-,-,-,-,96
2,-Rec-,-Rec-,,"ED SHEERAN",Azizam,Atlantic,,-,188,190,-2,37,48,34,19,50,0.558,0.579,-0.021,R,R,15,0,15,10.4,10.6,-0.1,-Rec-,151,46,101,-,-,-,-,-,-,147
11,-Rec-,-Rec-,,SHABOOZEY,"Good News","American Dogwood/EMPIRE",,-,172,226,-54,59,19,35,27,32,0.777,0.933,-0.156,R,R,14,0,14,8.6,11.3,-2.7,-Rec-,113,52,81,-,-,-,-,-,-,55
3,-Rec-,-Rec-,,"NOAH KAHAN","Stick Season",Mercury/Republic,,-,161,170,-9,58,22,29,27,25,0.499,0.530,-0.031,R,R,26,0,26,6.0,6.3,-0.3,-Rec-,103,54,78,-,-,-,-,-,45,232
