,,,,,,,,,,,,,,,,,,,,,
"TW: Feb 22 - Feb 28        LW: Feb 15 - Feb 21        Panel: Mediabase - Published Canada Panel        Format: Hot AC        Min Spins Cut off: 1        Hide French Songs: Yes",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Rank,,,Artist,Title,Label,Cancon,Spins,,,Dayparts,,,,,Impressions,Stations,,"Avg. Station Rotations",,,
LW,TW,,,,,,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,TW,On,New,On,TW,LW,+/-
83,76,Yes,"THE BEACHES","Last Girls At The Party",AWAL,Yes,23,19,4,8,2,2,7,4,0.052,5,3,5,4.6,3.8,0.8
76,77,Yes,KORIASS,Printemps,"7ième Ciel",Yes,23,21,2,0,5,5,1,12,0.101,3,0,3,7.7,7.0,0.7
-Rec-,-Rec-,,"JAMIE FINE",Homesick,---,Yes,878,895,-17,218,135,184,153,188,1.960,32,0,32,27.4,28.0,-0.5
-Rec-,-Rec-,,"ALICIA MOFFET","Lay Your Light","Cult Nation",Yes,780,799,-19,215,104,168,139,154,1.834,29,0,29,26.0,26.6,-0.6
-Rec-,-Rec-,,"CAMERON WHITCOMB",Options,Atlantic,Yes,635,637,-2,158,83,141,119,134,1.230,25,2,25,25.4,25.5,-0.1
-Rec-,-Rec-,,"BENSON BOONE","Beautiful Things","Night Street/Warner",,586,558,28,170,71,136,106,103,1.542,34,0,34,16.7,15.9,0.8
-Rec-,-Rec-,,HOZIER,"Too Sweet",Columbia,,581,573,8,199,68,122,90,102,1.533,35,2,35,16.6,16.4,0.2
-Rec-,-Rec-,,"THE WEEKND","Cry For Me",XO/Republic,Yes,546,573,-27,132,78,102,99,135,1.404,28,0,28,19.5,20.5,-1.0
-Rec-,-Rec-,,"CHAPPELL ROAN","Pink Pony Club",Island/Republic,,527,530,-3,135,78,120,78,116,1.294,32,0,32,16.5,16.6,-0.1
-Rec-,-Rec-,,"MYLES SMITH",Stargazing,RCA,,523,521,2,144,84,122,90,83,1.359,35,0,35,14.9,14.9,0.1
-Rec-,-Rec-,,"SABRINA CARPENTER",Espresso,Island/Republic,,514,492,22,149,67,101,109,88,1.397,32,0,32,16.1,15.4,0.7
-Rec-,-Rec-,,"BILLIE EILISH","BIRDS OF A FEATHER",Darkroom/Interscope/ICLG,,478,468,10,156,51,97,80,94,1.135,31,0,31,15.4,15.1,0.3
-Rec-,-Rec-,,"DEVON COLE","I Got You",Arista,Yes,467,496,-29,118,60,117,75,97,1.004,30,0,30,14.6,15.5,-0.9
-Rec-,-Rec-,,"SHAWN DESMAN X JAMIE FINE",Body,Wax,Yes,464,488,-24,110,72,104,89,89,1.481,31,0,31,15.0,15.7,-0.8
-Rec-,-Rec-,,"LADY GAGA & BRUNO MARS","Die With A Smile",Interscope/ICLG,,444,415,29,121,70,86,72,95,0.990,31,0,31,14.3,13.4,0.9
-Rec-,-Rec-,,"THE WEEKND","Dancing In The Flames",XO/Republic,Yes,440,464,-24,104,75,90,77,94,0.992,31,0,31,14.2,15.0,-0.8
-Rec-,-Rec-,,SHABOOZEY,"A Bar Song (Tipsy)","American Dogwood/EMPIRE",,438,467,-29,126,71,87,73,81,1.332,34,1,34,12.9,13.7,-0.9
-Rec-,-Rec-,,"TEDDY SWIMS","Lose Control",Warner,,412,446,-34,122,61,95,59,75,0.916,35,0,35,11.8,12.7,-1.0
-Rec-,-Rec-,,"POST MALONE","I Had Some Help f/M. Wallen","Big Loud/Mercury/Republic",,388,388,0,123,57,87,36,85,1.061,32,0,32,11.8,11.8,0.0
-Rec-,-Rec-,,"PRESTON PABLO","Dance Alone","31 East/UMC",Yes,362,398,-36,94,43,86,55,84,0.850,30,0,30,11.7,12.8,-1.2
-Rec-,-Rec-,,"SABRINA CARPENTER",Manchild,Island/Republic,,354,341,13,87,61,64,51,91,0.680,27,0,27,13.1,12.6,0.5
-Rec-,-Rec-,,"CHAPPELL ROAN","Good Luck, Babe!",Island/Republic,,330,305,25,109,28,59,70,64,0.748,28,3,28,11.4,10.5,0.9
-Rec-,-Rec-,,DJO,"End Of Beginning",AWAL,,324,264,60,93,44,65,50,72,0.978,18,5,18,17.1,13.9,3.2
