"Station Playlist",,,,,,,,,,,,,,,,,,,,,,,,
"Report Cycle: Published        LW: 02/15/2026 - 02/21/2026        TW: 02/22/2026 - 02/28/2026        Panel: Mediabase - All Canadian Stations        GRC: Currents and Recurrents        Show Top: 150        Station: CIWV-FM/Canada-Main AC/Vancouver, BC/Durham Radio Inc",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Station Rank",,Artist,Title,Cancon,Label,Year,Spins,,,Dayparts,,,,,"Market Info",,Impressions,,"Historical Data Since: 11/23/2023",,"Format Comparison",,,"6am to 7pm",,"W/O Ovn",
LW,TW,,,,,,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,"CIWV-FM Share(%)","Market Spins TW","Reach/ Mill","Imp Rank","First Played","Hist Spins",Rank,Avg,CIWV,Rank,TW,Rank,TW
185,87,"GREGORY GOODLOE","Groovin' On",,"Hip Jazz",2024,2,1,1,1,0,1,0,0,100,2,0.000,75,08/13/24,224,2880,2,0,89,1,117,1
188,88,GROOVE55,"Sunset Drive",Yes,---,2023,2,1,1,0,0,0,1,1,100,2,0.000,76,04/23/24,203,2830,2,0,90,1,59,2
189,89,"EMM GRYNER",Valencia,Yes,---,2022,2,1,1,0,0,1,1,0,100,2,0.000,64,11/28/23,150,2772,2,0,45,2,57,2
192,90,"BIG MIKE HART","Cigar Lounge f/Boney James",,"Rhythm Section",2024,2,1,1,1,0,1,0,0,100,2,0.000,51,04/23/24,276,2587,2,0,91,1,84,1
193,91,"GABRIEL MARK HASSELBACH","Heading North f/Paul Brown",Yes,Mesa/Bluemoon,2021,2,1,1,0,0,1,0,1,100,2,0.000,70,11/26/23,192,2875,2,0,92,1,74,2
196,92,"ADAM HAWLEY",Uptop,,"MBF Ent",2023,2,1,1,1,0,1,0,0,100,2,0.000,49,11/23/23,231,2712,2,0,93,1,118,1
211,93,"KENNY G","Legacy f/Sound Of Stan Getz",,Concord/CMG,2021,2,1,1,1,0,1,0,0,100,2,0.000,87,04/24/24,78,2803,2,0,94,1,121,1
213,94,"DAVE KOZ & ADAM HAWLEY",Automatic,,"Just Koz Ent",2024,2,1,1,0,0,1,0,1,100,2,0.000,61,09/28/24,234,2759,2,0,95,1,53,2
217,95,"WALLE LARSSON","10 West",Yes,"Dock Side",2021,2,1,1,0,0,0,1,1,100,2,0.000,126,04/23/24,239,2716,2,0,96,1,82,2
223,96,LEMEK,Co-Motion,,"Trippin 'N' Rhythm",2022,2,1,1,0,0,0,2,0,100,2,0.000,96,04/21/24,97,2809,2,0,46,2,67,2
232,97,MAYSA,"I Don't Mind",,"Blue Velvet Soul",2022,2,1,1,0,0,0,1,1,100,2,0.000,100,05/06/24,85,2887,2,0,97,1,58,2
239,98,"STEVE OLIVER","A Kind Heart",Yes,"Wide Sky",2024,2,1,1,1,0,0,0,1,100,2,0.000,117,03/06/24,344,2802,2,0,219,0,93,1
246,99,"DARREN RAHN","Light Of The World",,"Side 2",2025,2,1,1,0,0,0,1,1,100,2,0.000,59,07/15/25,186,2605,2,0,98,1,51,2
249,100,"RON ISLEY/ISLEY BROS F/BEYONCE","Make Me Say It Again Girl('22)",,"R I Top Ten",2022,2,1,1,1,0,1,0,0,100,2,0.000,115,05/01/24,187,2671,2,0,99,1,123,1
253,101,"LIN ROUNTREE","A Little Closer",,"Trippin 'N' Rhythm",2024,2,1,1,1,1,0,0,0,100,2,0.000,97,04/20/24,256,2722,2,0,100,1,92,1
258,102,"KIM SCOTT","Shine! f/Blake Aaron",,Innervision,2022,2,1,1,0,1,0,1,0,100,2,0.000,89,04/24/24,116,2724,2,0,47,2,78,2
259,103,"KIM SCOTT","Like Butter f/Jeff Ryan",,Innervision,2024,2,1,1,1,0,1,0,0,100,2,0.000,88,07/02/24,252,2603,2,0,101,1,106,1
266,104,"CHRIS STANDRING","Change The World",,"Ultimate Vibe",2022,2,1,1,0,0,1,0,1,100,2,0.000,55,05/04/24,82,2690,2,0,102,1,55,2
270,105,"ERIN STEVENSON","Believe f/Paul Brown",,Innervision,2022,2,1,1,0,1,0,0,1,100,2,0.000,65,04/30/24,124,2773,2,0,103,1,71,2
275,106,"NORA TOUTAIN",Harbour,Yes,"The Good People",2023,2,1,1,1,1,0,0,0,100,2,0.000,107,04/23/24,140,2706,2,0,104,1,126,1
281,107,"PAMELA WILLIAMS","Stone Cold",,Saxtress,2022,2,1,1,1,0,1,0,0,100,2,0.000,110,04/27/24,114,2780,2,0,105,1,110,1
,108,"LISA ADDEO","Wet Bar",,"Little Black Dress",2024,2,0,2,0,0,0,1,1,100,2,0.000,98,01/14/25,186,2478,2,0,106,1,65,2
,109,"GERALD ALBRIGHT","Living My Best Life",,"Bright Music",2025,2,0,2,0,0,1,1,0,100,2,0.000,73,08/26/25,178,2401,2,0,48,2,79,2
,110,"GERALD ALBRIGHT",G-Wiggle,,"Bright Music",2022,2,0,2,1,0,1,0,0,100,2,0.000,72,04/20/24,91,2346,2,0,107,1,127,1
,111,"CINDY BRADLEY",Promise,,"Trippin 'N' Rhythm",2023,2,0,2,1,0,1,0,0,100,2,0.000,57,04/20/24,171,2489,2,0,108,1,112,1
,112,"KIMBERLY BREWER","Don't Make Me Wait Too Long",,Kimberlily,2023,2,0,2,1,1,0,0,0,100,2,0.000,92,04/23/24,99,2391,2,0,109,1,119,1
,113,"NORMAN BROWN","Back At Ya",,Shanachie,2022,2,0,2,1,0,1,0,0,100,2,0.000,108,04/23/24,95,2427,2,0,110,1,120,1
,114,CASTELLA,"Nights Over Egypt",,Castella,2024,2,0,2,1,0,1,0,0,100,2,0.000,54,03/16/25,47,2317,2,0,111,1,124,1
,115,"LALAH HATHAWAY","So In Love",,SRG,2024,2,0,2,1,0,1,0,0,100,2,0.000,94,08/28/24,276,2524,2,0,112,1,83,1
,116,"MARC JORDAN & AMY SKY","Long Shot",Yes,"Linus Ent.",2022,2,0,2,0,0,1,1,0,100,2,0.000,99,04/27/24,105,2453,2,0,49,2,77,2
,117,"JACKIEM JOYNER",Lokichogio,,Joyner,2024,2,0,2,1,0,1,0,0,100,2,0.000,78,01/28/25,205,2440,2,0,113,1,115,1
,118,"MICHAEL KAESHAMMER",Underdog,Yes,Coady./Seven.One/Starwatc,2025,2,0,2,1,0,1,0,0,100,2,0.000,102,09/13/25,79,2349,2,0,114,1,107,1
,119,"MICHAEL MANSON","On The Up And Up",,Manson,2023,2,0,2,1,0,1,0,0,100,2,0.000,103,02/20/24,254,2347,2,0,115,1,88,1
,120,MAYSA,"Runnin' From Myself",,"Blue Velvet Soul",2023,2,0,2,1,0,1,0,0,100,2,0.000,101,11/28/23,207,2454,2,0,116,1,91,1
,121,"JAY ROWE","That's What I Know",,Independent,2024,2,0,2,0,0,0,1,1,100,2,0.000,81,10/16/24,225,2368,2,0,117,1,76,2
,122,"JJ SANSAVERINO",Miami,,Innervision,2022,2,0,2,0,0,1,1,0,100,2,0.000,83,04/28/24,93,2532,2,0,50,2,54,2
,123,"RANDY SCOTT",Twilight,,"Trippin 'N' Rhythm",2023,2,0,2,1,0,1,0,0,100,2,0.000,112,01/13/24,302,2433,2,0,118,1,100,1
,124,"ERIN STEVENSON","Smooth Soul f/Marion Meadows",,Innervision,2023,2,0,2,0,0,0,1,1,100,2,0.000,66,05/02/24,113,2340,2,0,119,1,50,2
,125,"KAYLA WATERS",Undulation,,Shanachie,2023,2,0,2,1,0,0,0,1,100,2,0.000,86,04/23/24,125,2432,2,0,220,0,98,1
,126,"KIM WATERS","That Special Touch",,Shanachie,2022,2,0,2,1,1,0,0,0,100,2,0.000,90,04/28/24,91,2568,2,0,121,1,116,1
