Published Chart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week Ending: 04/18/2026        Panel: Mediabase - Published Smooth AC Panel        Format: Smooth Jazz        GRC: Currents Only        Min Spins Cut off: 1        Show Top: 1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PK,Rank,,,Artist,Title,Label,Wks On,Spins,,,Dayparts,,,,,Impressions,,,,,Stations,,Avg. Station Rotations,,,,w/o OVN,,6am to 7pm,,Format By Format Rank,
,LW,TW,,,,,,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,TW,LW,+/-,rTW,rLW,On,New,On,TW,LW,+/-,Rank,TW,Rank,TW,Smooth Jazz,Big Picture
96,114,104,Yes,MATT CUSSON,She'll Never Know f/G. Manning,Equity,-,29,26,3,7,5,7,4,6,0.032,0.034,-0.002,87,75,4,0,4,7.3,6.5,0.8,107,22,104,16,104,-
105,141,105,Yes,NILS,Joy And Pain,Baja/TSR,-,28,21,7,7,5,2,4,10,0.003,0,0.003,421,1203,3,2,3,9.3,7,2.3,110,21,141,11,105,-
103,129,106,Yes,MIKE LEVINE,Dreams f/Nestor Torres,Downtimes,-,28,24,4,2,4,8,5,9,0.041,0.036,0.005,56,67,5,0,5,4.7,4,0.7,92,26,99,17,106,-
62,122,107,Yes,DEE LUCAS,No Strings Attached,ODL Music,-,28,25,3,9,4,4,6,5,0.037,0.037,0,69,65,4,0,4,7,6.3,0.8,122,19,118,14,107,-
74,117,108,Yes,JOHNNY BRITT,City Of Lights,J-Jams,-,28,26,2,7,3,11,1,6,0.038,0.037,0.001,64,62,5,0,5,5.6,5.2,0.4,116,21,109,15,108,-
109,112,109,Yes,CARMEN JACKSON,Bag's Groove,---,-,28,26,2,7,5,6,4,6,0.034,0.034,0,80,76,4,0,4,7,6.5,0.5,111,21,110,15,109,-
110,132,110,Yes,ANDRE WARD,Still f/Janice Dempsey,The Gallery/Orpheus,-,26,23,3,7,5,6,4,4,0.032,0.03,0.002,92,102,3,0,3,8.7,7.7,1,120,19,111,15,110,-
101,128,111,Yes,JARROD LAWSON,Do Whatchu Gotta,Dome,-,26,24,2,5,7,6,2,6,0.032,0.035,-0.003,88,72,4,0,4,6.5,6,0.5,114,21,112,15,111,-
96,103,112,,TOM BRAXTON,Ruby J,Innervision,-,26,29,-3,5,3,9,6,3,0.019,0.024,-0.005,128,120,7,0,7,3.7,4.1,-0.4,113,21,95,18,112,-
98,99,113,,BRAD ALEXANDER,Can We Talk f/Elan Trotman,BCB,-,26,30,-4,5,6,4,4,7,0.019,0.029,-0.01,127,104,5,0,5,5.2,6,-0.8,112,21,119,14,113,-
114,339,114,Yes,PAT PETRILLO,Aura f/Nelson Rangell,Innervision,-,25,5,20,2,5,10,2,6,0.032,0.004,0.028,89,324,5,2,5,5,1,4,105,23,100,17,114,-
110,134,115,Yes,PASCAL BOKAR,Joyful,ABG,-,25,23,2,1,7,5,8,4,0.038,0.028,0.01,63,107,5,0,5,4.2,3.8,0.3,100,24,88,20,115,-
116,130,116,Yes,SIR SPENCER,Espresso Noir,US,-,25,23,2,7,3,7,5,3,0.018,0.011,0.007,130,171,6,1,6,4.2,3.8,0.3,129,18,113,15,116,-
108,108,117,,RANDY B,It's You,---,-,25,28,-3,8,3,4,5,5,0.008,0.012,-0.004,194,165,5,0,5,5,5.6,-0.6,137,17,134,12,117,-
102,102,118,,SMOOTH JAZZ ALLEY,Believe,Innervision,-,25,29,-4,2,5,8,2,8,0.027,0.041,-0.014,117,56,6,0,6,4.2,4.8,-0.7,106,23,114,15,118,-
119,174,119,Yes,WALTER CHATMAN,Good Times,---,-,24,16,8,4,4,6,7,3,0.007,0.002,0.005,202,419,6,3,6,4,2.7,1.3,117,20,101,17,119,-
120,153,120,Yes,VICTOR KGANTLAPE,Heaven's Melody,GoodFingers/CM3 Media,-,24,19,5,8,2,7,3,4,0.003,0.013,-0.01,400,156,4,0,4,6,4.8,1.3,141,16,135,12,120,-
62,146,121,Yes,FOSTINA DIXON,Let's Stay Together,Independent,-,24,20,4,4,3,2,6,9,0.015,0.015,0,143,146,4,0,4,6,5,1,119,20,142,11,121,-
98,143,122,Yes,TOMMY DAVIDSON,"Heart, Mind & Soul",One Song,-,24,21,3,5,3,5,2,9,0.03,0.029,0.001,99,105,5,0,5,4.8,4.2,0.6,123,19,152,10,122,-
104,123,123,,AXON RADIO,Welcome To The Bright SIde,Def Left Ear,-,24,25,-1,1,6,4,6,7,0.027,0.035,-0.008,115,69,4,0,4,4.8,5,-0.2,101,23,105,16,123,-
113,113,124,,HAROLD DAWSON,Clockwork,Independent,-,24,26,-2,1,7,5,5,6,0.039,0.033,0.006,60,80,6,2,6,4,4.3,-0.3,104,23,102,17,124,-
6,104,125,,CHRIS STANDRING,Chocolate Shake,Ultimate Vibe,20,24,29,-5,12,1,6,2,3,0.022,0.021,0.001,125,127,6,1,6,3.4,4.1,-0.7,168,12,157,9,125,-
126,157,126,Yes,DOUGLAS A. JACKSON,Elizabeth City Grooves,Centroplex,-,23,19,4,5,6,4,4,4,0.029,0.032,-0.003,106,89,3,0,3,7.7,6.3,1.3,130,18,120,14,126,-
